ensembl_gene_id,hgnc_symbol,source,team,study,input_data,details
ENSG00000185046,ANKS1B,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000185046,ANKS1B,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000177119,ANO6,Community,Chang Lab,Mayo,"Genetics, RNA",
ENSG00000136938,ANP32B,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000135046,ANXA1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000182718,ANXA2,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, Protein",
ENSG00000164111,ANXA5,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000100280,AP1B1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000196961,AP2A1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000183020,AP2A2,TREAT-AD,Emory-Sage-SGC,,"Genetics, RNA, Protein",
ENSG00000006125,AP2B1,Community,Chang Lab,"Rush, MSBB","Genetics, RNA, Protein",
ENSG00000006125,AP2B1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000161203,AP2M1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000103723,AP3B2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000065000,AP3D1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000130208,APOC1,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000130208,APOC1,AMP-AD,MSSM - Roussos Lab,FreshMicro,RNA,
ENSG00000189058,APOD,AMP-AD,Mayo-UFL-ISB,APP Mice,Protein,
ENSG00000130203,APOE,AMP-AD,Mayo-UFL-ISB,APP Mice,Protein,
ENSG00000130203,APOE,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000130203,APOE,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000130203,APOE,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000130203,APOE,TREAT-AD,Emory-Sage-SGC,"Banner, ROSMAP, MSBB, Emory",Protein,
ENSG00000142192,APP,TREAT-AD,Emory-Sage-SGC,"Banner, ROSMAP, MSBB, Emory",Protein,
